date,product,sales,quantity
2026-08-01,wireless-earbuds,15076,4
2026-08-02,wireless-earbuds,16853,4
2026-08-03,wireless-earbuds,15880,4
2026-08-04,wireless-earbuds,16125,4
2026-08-05,wireless-earbuds,15839,4
2026-08-06,wireless-earbuds,15082,4
2026-08-07,wireless-earbuds,13422,3
2026-08-08,wireless-earbuds,41472,3
2026-08-09,wireless-earbuds,44019,3
2026-08-10,wireless-earbuds,44899,4
2026-08-11,wireless-earbuds,55110,4
2026-08-12,wireless-earbuds,50986,4
2026-08-13,wireless-earbuds,50426,4
2026-08-14,wireless-earbuds,45971,4
2026-08-01,bluetooth-speaker,9761,2
2026-08-02,bluetooth-speaker,12402,3
2026-08-03,bluetooth-speaker,12237,3
2026-08-04,bluetooth-speaker,12204,3
2026-08-05,bluetooth-speaker,10913,3
2026-08-06,bluetooth-speaker,10348,3
2026-08-07,bluetooth-speaker,12210,3
2026-08-08,bluetooth-speaker,957,2
2026-08-09,bluetooth-speaker,1196,3
2026-08-10,bluetooth-speaker,1261,3
2026-08-11,bluetooth-speaker,1209,3
2026-08-12,bluetooth-speaker,980,2
2026-08-13,bluetooth-speaker,1053,3
2026-08-14,bluetooth-speaker,1157,3
2026-08-01,usb-c-cable,8070,2
2026-08-02,usb-c-cable,8684,2
2026-08-03,usb-c-cable,9369,2
2026-08-04,usb-c-cable,8076,2
2026-08-05,usb-c-cable,8714,2
2026-08-06,usb-c-cable,7378,2
2026-08-07,usb-c-cable,8872,2
2026-08-08,usb-c-cable,8814,2
2026-08-09,usb-c-cable,9065,2
2026-08-10,usb-c-cable,9197,2
2026-08-11,usb-c-cable,9591,2
2026-08-12,usb-c-cable,9485,2
2026-08-13,usb-c-cable,7969,2
2026-08-14,usb-c-cable,9545,2
2026-08-01,phone-case,14781,4
2026-08-02,phone-case,11714,3
2026-08-03,phone-case,14500,4
2026-08-04,phone-case,12307,3
2026-08-05,phone-case,11234,3
2026-08-06,phone-case,13091,3
2026-08-07,phone-case,11266,3
2026-08-08,phone-case,11772,3
2026-08-09,phone-case,14857,4
2026-08-10,phone-case,12114,3
2026-08-11,phone-case,12447,3
2026-08-12,phone-case,13585,3
2026-08-13,phone-case,14054,4
2026-08-14,phone-case,13469,3
2026-08-01,screen-protector,18254,5
2026-08-02,screen-protector,18319,5
2026-08-03,screen-protector,15501,4
2026-08-04,screen-protector,16459,4
2026-08-05,screen-protector,15453,4
2026-08-06,screen-protector,19804,5
2026-08-07,screen-protector,20207,5
2026-08-08,screen-protector,16298,4
2026-08-09,screen-protector,19349,5
2026-08-10,screen-protector,16205,4
2026-08-11,screen-protector,17268,4
2026-08-12,screen-protector,15411,4
2026-08-13,screen-protector,15167,4
2026-08-14,screen-protector,15809,4
2026-08-01,power-bank,12426,3
2026-08-02,power-bank,14087,4
2026-08-03,power-bank,11988,3
2026-08-04,power-bank,11825,3
2026-08-05,power-bank,11734,3
2026-08-06,power-bank,12745,3
2026-08-07,power-bank,11958,3
2026-08-08,power-bank,10511,3
2026-08-09,power-bank,13214,3
2026-08-10,power-bank,12018,3
2026-08-11,power-bank,13481,3
2026-08-12,power-bank,11057,3
2026-08-13,power-bank,12938,3
2026-08-14,power-bank,12378,3
2026-08-01,smart-watch,17830,4
2026-08-02,smart-watch,17096,4
2026-08-03,smart-watch,16742,4
2026-08-04,smart-watch,15799,4
2026-08-05,smart-watch,14650,4
2026-08-06,smart-watch,16288,4
2026-08-07,smart-watch,17375,4
2026-08-08,smart-watch,16082,4
2026-08-09,smart-watch,19680,5
2026-08-10,smart-watch,18835,5
2026-08-11,smart-watch,17660,4
2026-08-12,smart-watch,15099,4
2026-08-13,smart-watch,19502,5
2026-08-14,smart-watch,17604,4
2026-08-01,laptop-stand,13439,3
2026-08-02,laptop-stand,13308,3
2026-08-03,laptop-stand,16649,4
2026-08-04,laptop-stand,15914,4
2026-08-05,laptop-stand,14986,4
2026-08-06,laptop-stand,16418,4
2026-08-07,laptop-stand,15796,4
2026-08-08,laptop-stand,16811,4
2026-08-09,laptop-stand,14403,4
2026-08-10,laptop-stand,13454,3
2026-08-11,laptop-stand,14949,4
2026-08-12,laptop-stand,13180,3
2026-08-13,laptop-stand,16981,4
2026-08-14,laptop-stand,14429,4
2026-08-01,desk-lamp,16536,4
2026-08-02,desk-lamp,14357,4
2026-08-03,desk-lamp,14471,4
2026-08-04,desk-lamp,16686,4
2026-08-05,desk-lamp,16240,4
2026-08-06,desk-lamp,18726,5
2026-08-07,desk-lamp,14168,4
2026-08-08,desk-lamp,18716,5
2026-08-09,desk-lamp,18651,5
2026-08-10,desk-lamp,17039,4
2026-08-11,desk-lamp,17095,4
2026-08-12,desk-lamp,16613,4
2026-08-13,desk-lamp,16301,4
2026-08-14,desk-lamp,16576,4
2026-08-01,mouse-pad,9874,2
2026-08-02,mouse-pad,9466,2
2026-08-03,mouse-pad,10237,3
2026-08-04,mouse-pad,12368,3
2026-08-05,mouse-pad,11216,3
2026-08-06,mouse-pad,9912,2
2026-08-07,mouse-pad,11434,3
2026-08-08,mouse-pad,10096,3
2026-08-09,mouse-pad,11452,3
2026-08-10,mouse-pad,12027,3
2026-08-11,mouse-pad,9996,2
2026-08-12,mouse-pad,9371,2
2026-08-13,mouse-pad,10930,3
2026-08-14,mouse-pad,11646,3
2026-08-01,keyboard,14481,4
2026-08-02,keyboard,16941,4
2026-08-03,keyboard,17768,4
2026-08-04,keyboard,14145,4
2026-08-05,keyboard,13494,3
2026-08-06,keyboard,14490,4
2026-08-07,keyboard,14194,4
2026-08-08,keyboard,15470,4
2026-08-09,keyboard,14480,4
2026-08-10,keyboard,16969,4
2026-08-11,keyboard,14577,4
2026-08-12,keyboard,13609,3
2026-08-13,keyboard,14286,4
2026-08-14,keyboard,14955,4
2026-08-01,webcam,9346,2
2026-08-02,webcam,7276,2
2026-08-03,webcam,9489,2
2026-08-04,webcam,7436,2
2026-08-05,webcam,9049,2
2026-08-06,webcam,7748,2
2026-08-07,webcam,9246,2
2026-08-08,webcam,8067,2
2026-08-09,webcam,8223,2
2026-08-10,webcam,8659,2
2026-08-11,webcam,8344,2
2026-08-12,webcam,9025,2
2026-08-13,webcam,9098,2
2026-08-14,webcam,8970,2
2026-08-01,monitor-arm,12196,3
2026-08-02,monitor-arm,13331,3
2026-08-03,monitor-arm,14056,4
2026-08-04,monitor-arm,14533,4
2026-08-05,monitor-arm,12507,3
2026-08-06,monitor-arm,11197,3
2026-08-07,monitor-arm,11269,3
2026-08-08,monitor-arm,14439,4
2026-08-09,monitor-arm,13146,3
2026-08-10,monitor-arm,13207,3
2026-08-11,monitor-arm,14465,4
2026-08-12,monitor-arm,14180,4
2026-08-13,monitor-arm,14222,4
2026-08-14,monitor-arm,14347,4
2026-08-01,cable-organizer,8326,2
2026-08-02,cable-organizer,8342,2
2026-08-03,cable-organizer,7404,2
2026-08-04,cable-organizer,8529,2
2026-08-05,cable-organizer,9059,2
2026-08-06,cable-organizer,8893,2
2026-08-07,cable-organizer,9484,2
2026-08-08,cable-organizer,9050,2
2026-08-09,cable-organizer,9023,2
2026-08-10,cable-organizer,7371,2
2026-08-11,cable-organizer,9426,2
2026-08-12,cable-organizer,8767,2
2026-08-13,cable-organizer,8102,2
2026-08-14,cable-organizer,7729,2
2026-08-01,wireless-charger,8567,2
2026-08-02,wireless-charger,9070,2
2026-08-03,wireless-charger,10631,3
2026-08-04,wireless-charger,8741,2
2026-08-05,wireless-charger,9002,2
2026-08-06,wireless-charger,10575,3
2026-08-07,wireless-charger,8903,2
2026-08-08,wireless-charger,9036,2
2026-08-09,wireless-charger,8523,2
2026-08-10,wireless-charger,8950,2
2026-08-11,wireless-charger,11047,3
2026-08-12,wireless-charger,10757,3
2026-08-13,wireless-charger,9562,2
2026-08-14,wireless-charger,9655,2
2026-08-01,noise-cancelling-headset,15666,4
2026-08-02,noise-cancelling-headset,16859,4
2026-08-03,noise-cancelling-headset,17830,4
2026-08-04,noise-cancelling-headset,17053,4
2026-08-05,noise-cancelling-headset,15803,4
2026-08-06,noise-cancelling-headset,13833,3
2026-08-07,noise-cancelling-headset,14028,4
2026-08-08,noise-cancelling-headset,13988,3
2026-08-09,noise-cancelling-headset,15532,4
2026-08-10,noise-cancelling-headset,16342,4
2026-08-11,noise-cancelling-headset,14678,4
2026-08-12,noise-cancelling-headset,17445,4
2026-08-13,noise-cancelling-headset,17164,4
2026-08-14,noise-cancelling-headset,15708,4
2026-08-01,tablet-stand,8518,2
2026-08-02,tablet-stand,8906,2
2026-08-03,tablet-stand,9732,2
2026-08-04,tablet-stand,8203,2
2026-08-05,tablet-stand,9512,2
2026-08-06,tablet-stand,10090,3
2026-08-07,tablet-stand,8964,2
2026-08-08,tablet-stand,10163,3
2026-08-09,tablet-stand,8098,2
2026-08-10,tablet-stand,9670,2
2026-08-11,tablet-stand,8038,2
2026-08-12,tablet-stand,10419,3
2026-08-13,tablet-stand,9189,2
2026-08-14,tablet-stand,9789,2
2026-08-01,car-mount,11935,3
2026-08-02,car-mount,12369,3
2026-08-03,car-mount,13260,3
2026-08-04,car-mount,10140,3
2026-08-05,car-mount,10136,3
2026-08-06,car-mount,11766,3
2026-08-07,car-mount,10957,3
2026-08-08,car-mount,11119,3
2026-08-09,car-mount,10589,3
2026-08-10,car-mount,12080,3
2026-08-11,car-mount,10518,3
2026-08-12,car-mount,10822,3
2026-08-13,car-mount,11915,3
2026-08-14,car-mount,11389,3
2026-08-01,travel-adapter,10744,3
2026-08-02,travel-adapter,10720,3
2026-08-03,travel-adapter,9581,2
