상품코드,상품명,현재재고,예약재고,기간출고량,집계일수,안전재고,입고소요일,최소발주수량,매입단가,공급처
INV-001,보조배터리 10000,10,25,140,14,30,5,20,5000,은하물류
INV-002,무선 충전 패드,50,10,140,14,20,7,15,3000,청림상사
INV-003,케이블 정리 파우치,30,0,60,10,10,5,12,2500,은하물류
INV-004,미니 손전등,5,8,0,14,15,6,10,1200,두리상사
INV-005,"한 손 그립, 스탠드 겸용",20,0,200,10,25,3,25,1800,청림상사
INV-006,"프리미엄 ""라이트"" 케이스",60,10,70,14,55,4,8,4000,은하물류
INV-007,접이식 우산꽂이,100,20,140,14,25,6,15,2200,한빛물류
INV-008,차량용 거치대,40,0,80,16,40,5,10,1500,두리상사
INV-009,방수 파우치 세트,70,5,91,13,70,4,25,6000,한빛물류
INV-010,스테인리스 텀블러,200,20,70,14,50,5,30,1000,청림상사
INV-011,접착식 후크 10p,150,10,42,14,60,4,20,1500,은하물류
INV-012,실리콘 주방장갑,80,0,16,8,30,3,10,0,한빛물류
INV-013,USB 허브 4포트,45,5,84,12,20,5,12,3500,두리상사
INV-014,휴대용 미니선풍기,25,3,88,11,15,3,16,2750,은하물류
INV-015,접이식 장바구니,300,50,98,14,80,6,40,900,청림상사
INV-016,다용도 수납박스,55,15,60,15,18,8,14,1650,한빛물류
INV-017,논슬립 발매트,120,20,28,12,40,5,25,1200,두리상사
INV-018,블루투스 스피커 미니,20,4,50,10,25,7,18,4200,은하물류
