날짜,상품명,매출액,판매수량
2026-09-01,무선이어폰,40000,4
2026-09-01,무선이어폰,20000,2
2026-09-05,무선이어폰,40000,4
2026-09-10,무선이어폰,100000,10
2026-09-14,무선이어폰,60000,6
2026-09-02,블루투스스피커,200000,20
2026-09-09,블루투스스피커,100000,10
2026-09-11,신제품케이스,150000,15
2026-09-03,단종예정상품,120000,12
2026-09-01,보통상품,100000,10
2026-09-08,보통상품,140000,14
2026-09-01,저매출상품,50000,5
2026-09-08,저매출상품,80000,8
2026-09-01,경계급증상품,200000,20
2026-09-08,경계급증상품,260000,26
2026-09-01,경계미달상품,200000,20
2026-09-08,경계미달상품,258000,25
2026-09-01,절대변화경계상품,100000,10
2026-09-08,절대변화경계상품,150000,15
2026-09-08,신규미달상품,80000,8
