review,rating,product,date
"Shipping was incredibly fast, arrived a day early!",5,Wireless Earbuds,2026-01-05
"The battery life is amazing, lasts me two full days.",5,Wireless Earbuds,2026-01-06
"Packaging arrived crushed and the box was damaged.",2,Wireless Earbuds,2026-01-07
"Box was completely crushed when it arrived, very disappointing.",1,Wireless Earbuds,2026-01-08
"Wish there was a smaller case size option, current one is bulky.",4,Wireless Earbuds,2026-01-09
"Would love a smaller case, it barely fits in my pocket.",3,Wireless Earbuds,2026-01-10
"Sound quality is fantastic for the price point.",5,Wireless Earbuds,2026-01-11
"Delivery was super quick, got it in two days.",5,Wireless Earbuds,2026-01-12
"Packaging was flimsy and one earbud fell out during shipping.",2,Wireless Earbuds,2026-01-13
"Please add a smaller case option, it's too big for small bags.",4,Wireless Earbuds,2026-01-14
"Great sound and comfortable fit, love these earbuds.",5,Wireless Earbuds,2026-01-15
"The app keeps crashing whenever I try to update firmware.",2,Wireless Earbuds,2026-01-16
"Firmware update app crashed twice on my phone.",1,Wireless Earbuds,2026-01-17
,3,Wireless Earbuds,2026-01-18
"   ",4,Wireless Earbuds,2026-01-19
"Customer support responded within an hour, very helpful.",5,Wireless Earbuds,2026-01-20
"Battery drains too fast when Bluetooth is always on.",2,Wireless Earbuds,2026-01-21
"Case is way too bulky, please make a slimmer version.",3,Wireless Earbuds,2026-01-22
"Arrived earlier than expected, shipping was great.",5,Wireless Earbuds,2026-01-23
"App crashes every single time I open settings.",1,Wireless Earbuds,2026-01-24
"Charging cable is too short for my desk setup.",3,Wireless Earbuds,2026-01-25
"Please include a longer charging cable in the box.",4,Wireless Earbuds,2026-01-26
